[local] 0.0 -7.1 87.0785 (best c=1.0, g=0.00728932024638, rate=87.0785)
[local] -3.0 -7.1 77.6494 (best c=1.0, g=0.00728932024638, rate=87.0785)
[local] 0.0 -7.7 86.0241 (best c=1.0, g=0.00728932024638, rate=87.0785)
[local] -3.0 -7.7 79.3821 (best c=1.0, g=0.00728932024638, rate=87.0785)
[local] 3.0 -7.1 88.4778 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] 3.0 -7.7 87.9545 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] -4.0 -7.1 73.7111 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] -4.0 -7.7 76.2075 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] 0.0 -6.5 86.8149 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] -3.0 -6.5 73.5542 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] 3.0 -6.5 88.065 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] -4.0 -6.5 72.4707 (best c=8.0, g=0.00728932024638, rate=88.4778)
[local] 2.0 -7.1 88.501 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 2.0 -7.7 88.034 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 2.0 -6.5 88.0921 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -1.0 -7.1 84.2527 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -1.0 -7.7 83.7778 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -1.0 -6.5 82.3494 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 0.0 -8.0 85.2876 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -3.0 -8.0 79.5236 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 3.0 -8.0 87.6211 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -4.0 -8.0 76.723 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 2.0 -8.0 87.5436 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -1.0 -8.0 83.2526 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 5.0 -7.1 88.3789 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 5.0 -7.7 87.782 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 5.0 -6.5 88.0398 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 5.0 -8.0 87.4079 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -5.0 -7.1 72.4126 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -5.0 -7.7 72.649 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -5.0 -6.5 72.4087 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -5.0 -8.0 72.8758 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] 0.0 -6.8 87.1889 (best c=4.0, g=0.00728932024638, rate=88.501)
[local] -3.0 -6.8 75.1454 (best c=4.0, g=0.00728932024638, rate=88.501)

